"loc","lon","lat","utmx","utmy"
"Anand_Vihar",77.316032,28.646835,726.377415187656,3171.05322321194
"Ashok_Vihar",77.181665,28.695381,713.14199369187,3176.1862354132
"Aya_Nagar",77.1099364,28.4706914,706.571503447317,3151.15876696426
"CRRI_Mathura_Road",77.2735737,28.5512005,722.427627404771,3160.37406589152
"DTU",77.1112615,28.7500499,706.154728516105,3182.1212467077
"Dr._Karni_Singh_Shooting_Range",77.26484,28.498571,721.683115868203,3154.52489594587
"Dwarka-Sector_8",77.0719006,28.5710274,702.654662371215,3162.21350229521
"IGI_Airport_(T3)",77.1180053,28.5627763,707.181490913226,3161.37797987536
"IHBAS,_Dilshad_Garden",77.3025234,28.6811736,724.983243251408,3174.8335923755
"ITO",77.2494387,28.6316945,719.898088710951,3169.25074441041
"Jahangirpuri",77.170633,28.73282,711.988360163835,3180.31592399355
"Jawaharlal_Nehru_Stadium",77.233829,28.58028,718.478133752073,3163.52379927426
"Lodhi_Road",77.2273074,28.5918245,717.816306479351,3164.79139167934
"Major_Dhyan_Chand_National_Stadium",77.237738,28.611281,718.796296427885,3166.96681096249
"Mandir_Marg",77.201067,28.636429,715.158477077118,3169.68739828392
"NSIT_Dwarka",77.0325413,28.60909,698.732360471095,3166.36571468338
"Nehru_Nagar",77.250515,28.56789,720.136364951291,3162.18117771068
"Okhla_Phase-2",77.271255,28.530785,722.243597680943,3158.10708091406
"Patparganj",77.287205,28.623748,723.60791738948,3168.44010128936
"Punjabi_Bagh",77.131023,28.674045,708.235406194541,3173.7321405253
"Pusa",77.146263,28.639645,709.793498163162,3169.94634568558
"R_K_Puram",77.186937,28.563262,713.925110816184,3161.55301299749
"Rohini",77.11992,28.732528,707.034964135944,3180.19435143861
"Shadipur",77.1473105,28.6514781,709.872342574542,3171.25962416274
"Sirifort",77.2159377,28.5504249,716.789030084571,3160.182439
"Sonia_Vihar",77.249485,28.710508,719.737990692557,3177.98592210999
"Vivek_Vihar",77.31526,28.672342,726.247115075557,3173.87882917811
"Wazirpur",77.165453,28.699793,711.548841606531,3176.64634326331
